Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.11022302462516E-16,8.32667268468867E-16,0.0329215154523213,0,0,0,2.06099139407896,0.0101180981973123,-1.4361818168078E-15,1.13727748333106E-19,0.0101180981974174,5.28927273539273E-19,0.0197053897177076,0,0,0,0,0,0,package://hexa_wexa/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://hexa_wexa/meshes/base_link.STL,,bess-1;leg_less-1/Servo Futaba S3306-2;leg_less-12/Servo Futaba S3306-2;leg_less-13/Servo Futaba S3306-2;leg_less-14/Servo Futaba S3306-2;leg_less-15/Servo Futaba S3306-2;leg_less-16/Servo Futaba S3306-2;leg_less-1/Mhold_bottom-1;leg_less-1/AutoRecover Of atas_CPY2-1;leg_less-12/AutoRecover Of atas_CPY2-1;leg_less-12/Mhold_bottom-1;leg_less-13/Mhold_bottom-1;leg_less-14/Mhold_bottom-1;bess_up-1;leg_less-13/AutoRecover Of atas_CPY2-1;leg_less-14/AutoRecover Of atas_CPY2-1;leg_less-16/AutoRecover Of atas_CPY2-1;leg_less-15/AutoRecover Of atas_CPY2-1;leg_less-15/Mhold_bottom-1;leg_less-16/Mhold_bottom-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0,-0.000390541423954061,-0.0520431996238184,0,0,0,0.0161867713531685,2.90017231403271E-05,6.7762635780344E-21,-8.50537169564026E-21,2.51034835558057E-05,-5.13859201514917E-06,3.96568446515958E-06,0,0,0,0,0,0,package://hexa_wexa/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://hexa_wexa/meshes/link_1.STL,,leg_less-13/Part4-1,Origin_femur1,,femur1,revolute,0.14515,-0.13347,0.01,0,0,0.5236,base_link,1,0,0,100,50,-1.5708,1.5708,,,,,,,,
link_1.1,-0.0426285870362159,-0.00501916657630452,-0.00729447440820258,0,0,0,0.172077268178404,0.000231425971647549,-4.49143962276963E-10,1.89213210170286E-06,0.000275463997514187,1.27642229960103E-05,7.5723265385277E-05,0,0,0,0,0,0,package://hexa_wexa/meshes/link_1.1.STL,0,0,0,1,0,0,0,0,0,0,package://hexa_wexa/meshes/link_1.1.STL,,leg_less-13/Servo Futaba S3306-3;leg_less-13/leg-1,Origin_leg1,,leg1,revolute,0,-0.02283,-0.099002,-0.046051,0,0,link_1,1,0,0,100,50,-1.5708,1.5708,,,,,,,,
link_2,-8.32667268468867E-17,-0.000390541423954061,-0.0520431996238183,0,0,0,0.0161867713531686,2.90017231403271E-05,1.85801300952691E-20,2.02679642762048E-21,2.51034835558058E-05,-5.13859201514918E-06,3.9656844651596E-06,0,0,0,0,0,0,package://hexa_wexa/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://hexa_wexa/meshes/link_2.STL,,leg_less-14/Part4-1,Origin_femur2,,femur2,revolute,0.18816,0.05897,0.01,0,0,1.5708,base_link,1,0,0,100,50,-1.5708,1.5708,,,,,,,,
link_2.2,-0.0426285870058558,-0.00501916661698198,-0.00729447436625907,0,0,0,0.172077268568037,0.000231425083797164,-4.48969659915652E-10,1.89213220657379E-06,0.000275463082426943,1.27642153499068E-05,7.57233043712846E-05,0,0,0,0,0,0,package://hexa_wexa/meshes/link_2.2.STL,0,0,0,1,0,0,0,0,0,0,package://hexa_wexa/meshes/link_2.2.STL,,leg_less-14/Servo Futaba S3306-3;leg_less-14/leg-1,Origin_leg2,,leg2,revolute,0,-0.02283,-0.099002,-0.046051,0,0,link_2,1,0,0,100,50,-1.5708,1.5708,,,,,,,,
link_3,-5.55111512312578E-17,-0.000390541423954074,-0.0520431996238182,0,0,0,0.0161867713531686,2.90017231403272E-05,2.79520872593919E-20,1.18265634115863E-20,2.51034835558058E-05,-5.13859201514919E-06,3.96568446515959E-06,0,0,0,0,0,0,package://hexa_wexa/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://hexa_wexa/meshes/link_3.STL,,leg_less-15/Part4-1,Origin_femur3,,femur3,revolute,0.043011,0.19244,0.01,0,0,2.618,base_link,1,0,0,100,50,-1.5708,1.5708,,,,,,,,
link_3.3,-0.042807342236036,-0.00501916662215592,-0.00615932155635768,0,0,0,0.172077268091205,0.00023141657003237,3.38677520311463E-07,-2.24586714486416E-06,0.000275463997357553,1.27597291678561E-05,7.57326668898429E-05,0,0,0,0,0,0,package://hexa_wexa/meshes/link_3.3.STL,0,0,0,1,0,0,0,0,0,0,package://hexa_wexa/meshes/link_3.3.STL,,leg_less-15/Servo Futaba S3306-3;leg_less-15/leg-1,Origin_leg3,,leg3,revolute,0,-0.02283,-0.099002,-0.046067,-0.026543,0.0012235,link_3,1,0,0,100,50,-1.5708,1.5708,,,,,,,,
link_4,-6.93889390390723E-18,-0.000390541423954116,-0.0520431996238183,0,0,0,0.0161867713531686,2.90017231403271E-05,4.74338450462408E-20,6.26552831118306E-20,2.51034835558057E-05,-5.13859201514918E-06,3.96568446515959E-06,0,0,0,0,0,0,package://hexa_wexa/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://hexa_wexa/meshes/link_4.STL,,leg_less-16/Part4-1,Origin_femur4,,femur4,revolute,-0.14515,0.13347,0.01,0,0,-2.618,base_link,1,0,0,100,50,-1.5708,1.5708,,,,,,,,
link_4.4,-0.0424197356336695,-0.00501916657630445,-0.00842447733487048,0,0,0,0.172077268178403,0.000231215556596787,-3.39575333485197E-07,6.02478897876616E-06,0.000275463997514186,1.27597052272569E-05,7.59336804360387E-05,0,0,0,0,0,0,package://hexa_wexa/meshes/link_4.4.STL,0,0,0,1,0,0,0,0,0,0,package://hexa_wexa/meshes/link_4.4.STL,,leg_less-16/Servo Futaba S3306-3;leg_less-16/leg-1,Origin_leg4,,leg4,revolute,0,-0.02283,-0.099002,-0.046067,0.026543,-0.0012235,link_4,1,0,0,100,50,-1.5708,1.5708,,,,,,,,
link_5,-5.55111512312578E-17,-0.000390541423954144,-0.0520431996238182,0,0,0,0.0161867713531685,2.90017231403272E-05,-6.20197374025219E-21,-1.32695616895557E-20,2.51034835558058E-05,-5.13859201514918E-06,3.96568446515958E-06,0,0,0,0,0,0,package://hexa_wexa/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://hexa_wexa/meshes/link_5.STL,,leg_less-1/Part4-1,Origin_femur5,,femur5,revolute,-0.18816,-0.05897,0.01,0,0,-1.5708,base_link,1,0,0,100,50,-1.5708,1.5708,,,,,,,,
link_5.5,-0.0426285870058558,-0.00501916661698201,-0.00729447436625913,0,0,0,0.172077268568037,0.000231425083797165,-4.48969659886024E-10,1.89213220657372E-06,0.000275463082426944,1.2764215349907E-05,7.57233043712848E-05,0,0,0,0,0,0,package://hexa_wexa/meshes/link_5.5.STL,0,0,0,1,0,0,0,0,0,0,package://hexa_wexa/meshes/link_5.5.STL,,leg_less-1/Servo Futaba S3306-3;leg_less-1/leg-1,Origin_leg5,,leg5,revolute,0,-0.02283,-0.099002,-0.046051,0,0,link_5,1,0,0,100,50,-1.5708,1.5708,,,,,,,,
link_6,-5.55111512312578E-17,-0.000390541423954061,-0.0520431996238183,0,0,0,0.0161867713531686,2.90017231403271E-05,-5.0821976835258E-21,-2.98382166343931E-20,2.51034835558057E-05,-5.13859201514916E-06,3.96568446515959E-06,0,0,0,0,0,0,package://hexa_wexa/meshes/link_6.STL,1,1,1,1,0,0,0,0,0,0,package://hexa_wexa/meshes/link_6.STL,,leg_less-12/Part4-1,Origin_femur6,,femur6,revolute,-0.043011,-0.19244,0.01,0,0,-0.5236,base_link,1,0,0,100,50,-1.5708,1.5708,,,,,,,,
